class,ttest_two-sided,ztest_two-sided,ttest_larger,ztest_larger,ttest_smaller,ztest_smaller,group
a_in,0.581939960787,0.581892583265,0.290969980394,0.290946291632,0.709030019606,0.709053708368,PGM
a_out,0.610225618577,0.610182281349,0.305112809289,0.305091140674,0.694887190711,0.694908859326,PGM
a_both,0.592811543228,0.592765738666,0.296405771614,0.296382869333,0.703594228386,0.703617130667,PGM
c_in,0.677197569249,0.677163151717,0.661401215376,0.661418424141,0.338598784624,0.338581575859,PGM
c_out,0.780351096541,0.780328882516,0.60982445173,0.609835558742,0.39017554827,0.390164441258,PGM
c_both,0.727167633849,0.727139335963,0.636416183075,0.636430332019,0.363583816925,0.363569667981,PGM
u_in,0.00819842082899,0.00814925109785,0.995900789586,0.995925374451,0.00409921041449,0.00407462554893,PGM
u_out,0.00708337938026,0.00703801422785,0.99645831031,0.996480992886,0.00354168969013,0.00351900711392,PGM
u_both,0.00700842356207,0.00696332695614,0.996495788219,0.996518336522,0.00350421178104,0.00348166347807,PGM
g_in,0.0866876051374,0.0865682267524,0.0433438025687,0.0432841133762,0.956656197431,0.956715886624,PGM
g_out,0.101496949669,0.101375764185,0.0507484748347,0.0506878820927,0.949251525165,0.949312117907,PGM
g_both,0.0924126214921,0.0922923881879,0.046206310746,0.046146194094,0.953793689254,0.953853805906,PGM
a_in,0.0111340391618,0.0110763433909,0.994432980419,0.994461828305,0.00556701958089,0.00553817169547,SOLiD
a_out,0.0377952750366,0.037697428034,0.981102362482,0.981151285983,0.0188976375183,0.018848714017,SOLiD
a_both,0.0199247693286,0.019848555553,0.990037615336,0.990075722224,0.00996238466428,0.00992427777648,SOLiD
c_in,0.372161971858,0.37207940124,0.813919014071,0.81396029938,0.186080985929,0.18603970062,SOLiD
c_out,0.294935750636,0.294838417157,0.852532124682,0.852580791421,0.147467875318,0.147419208579,SOLiD
c_both,0.329174011603,0.329083252559,0.835412994198,0.835458373721,0.164587005802,0.164541626279,SOLiD
u_in,0.870305890227,0.870293204786,0.564847054887,0.564853397607,0.435152945113,0.435146602393,SOLiD
u_out,0.959434982914,0.959431077025,0.520282508543,0.520284461488,0.479717491457,0.479715538512,SOLiD
u_both,0.913804285165,0.913795935502,0.543097857417,0.543102032249,0.456902142583,0.456897967751,SOLiD
g_in,0.00973039087903,0.00967659935945,0.00486519543952,0.00483829967973,0.99513480456,0.99516170032,SOLiD
g_out,0.0233156128738,0.0232340795504,0.0116578064369,0.0116170397752,0.988342193563,0.988382960225,SOLiD
g_both,0.0148133708551,0.0147468855041,0.00740668542757,0.00737344275203,0.992593314572,0.992626557248,SOLiD
