index,degree,edge_type,group
0,6.0,a_in,PGM
1,6.0,a_in,PGM
2,1.0,a_in,PGM
3,4.0,a_in,PGM
4,4.0,a_in,PGM
5,5.0,a_in,PGM
6,6.0,a_in,PGM
7,1.0,a_in,PGM
8,8.0,a_in,PGM
9,0.0,a_in,PGM
10,6.0,a_in,SOLID
11,6.0,a_in,SOLID
12,1.0,a_in,SOLID
13,10.0,a_in,SOLID
14,4.0,a_in,SOLID
15,4.0,a_in,SOLID
16,9.0,a_in,SOLID
17,5.0,a_in,SOLID
18,6.0,a_in,SOLID
19,7.0,a_in,SOLID
20,7.0,a_in,SOLID
21,8.0,a_in,SOLID
22,8.0,a_in,SOLID
23,4.0,a_in,SOLID
24,5.0,a_in,SOLID
25,9.0,a_in,miRNA
26,4.0,a_in,miRNA
27,4.0,a_in,miRNA
28,4.0,a_in,miRNA
29,3.0,a_in,miRNA
30,1.0,a_in,miRNA
31,1.0,a_in,miRNA
32,6.0,a_in,miRNA
33,5.0,a_in,miRNA
34,3.0,a_in,miRNA
35,3.0,a_in,miRNA
36,2.0,a_in,miRNA
37,3.0,a_in,miRNA
38,1.0,a_in,miRNA
39,5.0,a_in,miRNA
40,6.0,a_in,miRNA
41,5.0,a_in,miRNA
42,6.0,a_in,miRNA
43,7.0,a_in,miRNA
44,5.0,a_in,miRNA
45,3.0,a_in,miRNA
46,5.0,a_in,miRNA
47,6.0,a_in,miRNA
48,8.0,a_in,miRNA
49,5.0,a_in,miRNA
50,0.0,a_in,miRNA
51,2.0,a_in,miRNA
52,8.0,a_in,miRNA
53,2.0,a_in,miRNA
54,4.0,a_in,miRNA
55,6.0,a_in,miRNA
56,4.0,a_in,miRNA
57,4.0,a_in,miRNA
58,4.0,a_in,miRNA
59,3.0,a_in,miRNA
60,5.0,a_in,miRNA
61,6.0,a_in,miRNA
62,4.0,a_in,miRNA
63,3.0,a_in,miRNA
64,3.0,a_in,miRNA
65,4.0,a_in,miRNA
66,3.0,a_in,miRNA
67,7.0,a_in,miRNA
68,3.0,a_in,miRNA
69,5.0,a_in,miRNA
70,8.0,a_in,miRNA
71,6.0,a_in,miRNA
72,7.0,a_in,miRNA
73,5.0,a_in,miRNA
74,5.0,a_in,miRNA
75,7.0,a_in,miRNA
76,4.0,a_in,miRNA
77,2.0,a_in,miRNA
78,3.0,a_in,miRNA
79,4.0,a_in,miRNA
80,3.0,a_in,miRNA
81,1.0,a_in,miRNA
82,5.0,a_in,miRNA
83,6.0,a_in,miRNA
84,5.0,a_in,miRNA
85,9.0,a_in,miRNA
86,3.0,a_in,miRNA
87,2.0,a_in,miRNA
88,4.0,a_in,miRNA
89,4.0,a_in,miRNA
90,8.0,a_in,miRNA
91,5.0,a_in,miRNA
92,0.0,a_in,miRNA
93,5.0,a_in,miRNA
94,5.0,a_in,miRNA
95,5.0,a_in,miRNA
96,4.0,a_in,miRNA
97,2.0,a_in,miRNA
98,7.0,a_in,miRNA
99,4.0,a_in,miRNA
100,4.0,a_in,miRNA
101,6.0,a_in,miRNA
102,4.0,a_in,miRNA
103,6.0,a_in,miRNA
104,3.0,a_in,miRNA
105,3.0,a_in,miRNA
106,1.0,a_in,miRNA
107,5.0,a_in,miRNA
108,6.0,a_in,miRNA
109,5.0,a_in,miRNA
110,2.0,a_in,miRNA
111,7.0,a_in,miRNA
112,2.0,a_in,miRNA
113,3.0,a_in,miRNA
114,1.0,a_in,miRNA
115,3.0,a_in,miRNA
116,0.0,a_in,miRNA
117,3.0,a_in,miRNA
118,3.0,a_in,miRNA
119,2.0,a_in,miRNA
120,5.0,a_in,miRNA
121,6.0,a_in,miRNA
122,5.0,a_in,miRNA
123,3.0,a_in,miRNA
124,3.0,a_in,miRNA
125,0.0,a_in,miRNA
126,8.0,a_in,miRNA
127,1.0,a_in,miRNA
128,2.0,a_in,miRNA
129,3.0,a_in,miRNA
130,6.0,a_in,miRNA
131,1.0,a_in,miRNA
132,6.0,a_in,miRNA
133,8.0,a_in,miRNA
134,10.0,a_in,miRNA
135,3.0,a_in,miRNA
136,6.0,a_in,miRNA
137,4.0,a_in,miRNA
138,7.0,a_in,miRNA
139,7.0,a_in,miRNA
140,7.0,a_in,miRNA
141,1.0,a_in,miRNA
142,6.0,a_in,miRNA
143,2.0,a_in,miRNA
144,5.0,a_in,miRNA
145,4.0,a_in,miRNA
146,3.0,a_in,miRNA
147,3.0,a_in,miRNA
148,5.0,a_in,miRNA
149,4.0,a_in,miRNA
150,5.0,a_in,miRNA
151,4.0,a_in,miRNA
152,5.0,a_in,miRNA
153,8.0,a_in,miRNA
154,4.0,a_in,miRNA
155,3.0,a_in,miRNA
156,3.0,a_in,miRNA
157,3.0,a_in,miRNA
158,1.0,a_in,miRNA
159,3.0,a_in,miRNA
160,10.0,a_in,miRNA
161,2.0,a_in,miRNA
162,11.0,a_in,miRNA
163,4.0,a_in,miRNA
164,3.0,a_in,miRNA
165,6.0,a_in,miRNA
166,0.0,a_in,miRNA
167,5.0,a_in,miRNA
168,2.0,a_in,miRNA
169,1.0,a_in,miRNA
170,3.0,a_in,miRNA
171,4.0,a_in,miRNA
172,4.0,a_in,miRNA
173,2.0,a_in,miRNA
174,7.0,a_in,miRNA
175,2.0,a_in,miRNA
176,2.0,a_in,miRNA
177,6.0,a_in,miRNA
178,7.0,a_in,miRNA
179,6.0,a_in,miRNA
180,5.0,a_in,miRNA
181,3.0,a_in,miRNA
182,4.0,a_in,miRNA
183,9.0,a_in,miRNA
184,5.0,a_in,miRNA
185,4.0,a_in,miRNA
186,4.0,a_in,miRNA
187,2.0,a_in,miRNA
188,7.0,a_in,miRNA
189,6.0,a_in,miRNA
190,2.0,a_in,miRNA
191,2.0,a_in,miRNA
192,1.0,a_in,miRNA
193,5.0,a_in,miRNA
194,2.0,a_in,miRNA
195,4.0,a_in,miRNA
196,2.0,a_in,miRNA
197,3.0,a_in,miRNA
198,1.0,a_in,miRNA
199,2.0,a_in,miRNA
200,4.0,a_in,miRNA
201,6.0,a_in,miRNA
202,8.0,a_in,miRNA
203,7.0,a_in,miRNA
204,7.0,a_in,miRNA
205,3.0,a_in,miRNA
206,4.0,a_in,miRNA
207,9.0,a_in,miRNA
208,2.0,a_in,miRNA
209,5.0,a_in,miRNA
210,1.0,a_in,miRNA
211,5.0,a_in,miRNA
212,1.0,a_in,miRNA
213,5.0,a_in,miRNA
214,2.0,a_in,miRNA
215,3.0,a_in,miRNA
216,4.0,a_in,miRNA
217,6.0,a_in,miRNA
218,5.0,a_in,miRNA
219,2.0,a_in,miRNA
220,3.0,a_in,miRNA
221,3.0,a_in,miRNA
222,1.0,a_in,miRNA
223,4.0,a_in,miRNA
224,5.0,a_in,miRNA
225,1.0,a_in,miRNA
226,3.0,a_in,miRNA
227,9.0,a_in,miRNA
228,5.0,a_in,miRNA
229,7.0,a_in,miRNA
230,5.0,a_in,miRNA
231,7.0,a_in,miRNA
232,4.0,a_in,miRNA
233,4.0,a_in,miRNA
234,6.0,a_in,miRNA
235,4.0,a_in,miRNA
236,11.0,a_in,miRNA
237,4.0,a_in,miRNA
238,6.0,a_in,miRNA
239,4.0,a_in,miRNA
240,5.0,a_in,miRNA
241,4.0,a_in,miRNA
242,4.0,a_in,miRNA
243,6.0,a_in,miRNA
244,7.0,a_in,miRNA
245,2.0,a_in,miRNA
246,6.0,a_in,miRNA
247,4.0,a_in,miRNA
248,1.0,a_in,miRNA
249,6.0,a_in,miRNA
250,2.0,a_in,miRNA
251,9.0,a_in,miRNA
252,2.0,a_in,miRNA
253,3.0,a_in,miRNA
254,2.0,a_in,miRNA
255,4.0,a_in,miRNA
256,2.0,a_in,miRNA
257,2.0,a_in,miRNA
258,9.0,a_in,miRNA
259,7.0,a_in,miRNA
260,4.0,a_in,miRNA
261,7.0,a_in,miRNA
262,3.0,a_in,miRNA
263,1.0,a_in,miRNA
264,5.0,a_in,miRNA
265,4.0,a_in,miRNA
266,3.0,a_in,miRNA
267,6.0,a_in,miRNA
268,1.0,a_in,miRNA
269,7.0,a_in,miRNA
270,9.0,a_in,miRNA
271,3.0,a_in,miRNA
272,8.0,a_in,miRNA
273,9.0,a_in,miRNA
274,5.0,a_in,miRNA
275,1.0,a_in,miRNA
276,3.0,a_in,miRNA
277,9.0,a_in,miRNA
278,0.0,a_in,miRNA
279,6.0,a_in,miRNA
280,4.0,a_in,miRNA
281,4.0,a_in,miRNA
282,10.0,a_in,miRNA
283,5.0,a_in,miRNA
284,1.0,a_in,miRNA
285,7.0,a_in,miRNA
286,3.0,a_in,miRNA
287,5.0,a_in,miRNA
288,7.0,a_in,miRNA
289,8.0,a_in,miRNA
290,5.0,a_in,miRNA
291,7.0,a_in,miRNA
292,5.0,a_in,miRNA
293,8.0,a_in,miRNA
294,3.0,a_in,miRNA
295,2.0,a_in,miRNA
296,6.0,a_in,miRNA
297,7.0,a_in,miRNA
298,4.0,a_in,miRNA
299,4.0,a_in,miRNA
300,6.0,a_in,miRNA
301,6.0,a_in,miRNA
302,8.0,a_in,miRNA
303,1.0,a_in,miRNA
304,8.0,a_in,miRNA
305,4.0,a_in,miRNA
306,3.0,a_in,miRNA
307,2.0,a_in,miRNA
308,6.0,a_in,miRNA
309,5.0,a_in,miRNA
310,5.0,a_in,miRNA
311,7.0,a_in,miRNA
312,7.0,a_in,miRNA
313,3.0,a_in,miRNA
314,5.0,a_in,miRNA
315,10.0,a_in,miRNA
316,5.0,a_in,miRNA
317,7.0,a_in,miRNA
318,3.0,a_in,miRNA
319,8.0,a_in,miRNA
320,6.0,a_in,miRNA
321,3.0,a_in,miRNA
322,0.0,a_in,miRNA
323,7.0,a_in,miRNA
324,4.0,a_in,miRNA
325,5.0,a_in,miRNA
326,8.0,a_in,miRNA
327,7.0,a_in,miRNA
328,2.0,a_in,miRNA
329,4.0,a_in,miRNA
330,3.0,a_in,miRNA
331,8.0,a_in,miRNA
332,5.0,a_in,miRNA
333,4.0,a_in,miRNA
334,7.0,a_in,miRNA
335,3.0,a_in,miRNA
336,2.0,a_in,miRNA
337,6.0,a_in,miRNA
338,3.0,a_in,miRNA
339,2.0,a_in,miRNA
340,6.0,a_in,miRNA
341,7.0,a_in,miRNA
342,0.0,a_in,miRNA
343,6.0,a_in,miRNA
344,6.0,a_in,miRNA
345,8.0,a_in,miRNA
346,4.0,a_in,miRNA
347,5.0,a_in,miRNA
348,4.0,a_in,miRNA
349,2.0,a_in,miRNA
350,4.0,a_in,miRNA
351,7.0,a_in,miRNA
352,5.0,a_in,miRNA
353,7.0,a_in,miRNA
354,4.0,a_in,miRNA
355,3.0,a_in,miRNA
356,5.0,a_in,miRNA
357,6.0,a_in,miRNA
358,4.0,a_in,miRNA
359,2.0,a_in,miRNA
360,2.0,a_in,miRNA
361,6.0,a_in,miRNA
362,4.0,a_in,miRNA
363,6.0,a_in,miRNA
364,4.0,a_in,miRNA
365,9.0,a_in,miRNA
366,3.0,a_in,miRNA
367,6.0,a_in,miRNA
368,3.0,a_in,miRNA
369,2.0,a_in,miRNA
370,5.0,a_in,miRNA
371,2.0,a_in,miRNA
372,4.0,a_in,miRNA
373,0.0,a_in,miRNA
374,5.0,a_in,miRNA
375,1.0,a_in,miRNA
376,0.0,a_in,miRNA
377,3.0,a_in,miRNA
378,10.0,a_in,miRNA
379,5.0,a_in,miRNA
380,4.0,a_in,miRNA
381,3.0,a_in,miRNA
382,2.0,a_in,miRNA
383,2.0,a_in,miRNA
384,4.0,a_in,miRNA
385,6.0,a_in,miRNA
386,4.0,a_in,miRNA
387,2.0,a_in,miRNA
388,7.0,a_in,miRNA
389,3.0,a_in,miRNA
390,3.0,a_in,miRNA
391,2.0,a_in,miRNA
392,2.0,a_in,miRNA
393,5.0,a_in,miRNA
394,5.0,a_in,miRNA
395,1.0,a_in,miRNA
396,3.0,a_in,miRNA
397,4.0,a_in,miRNA
398,2.0,a_in,miRNA
399,0.0,a_in,miRNA
400,7.0,a_in,miRNA
401,6.0,a_in,miRNA
402,5.0,a_in,miRNA
403,1.0,a_in,miRNA
404,6.0,a_in,miRNA
405,1.0,a_in,miRNA
406,2.0,a_in,miRNA
407,6.0,a_in,miRNA
408,5.0,a_in,miRNA
409,3.0,a_in,miRNA
410,3.0,a_in,miRNA
411,4.0,a_in,miRNA
412,3.0,a_in,miRNA
413,5.0,a_in,miRNA
414,5.0,a_in,miRNA
415,4.0,a_in,miRNA
416,3.0,a_in,miRNA
417,8.0,a_in,miRNA
418,1.0,a_in,miRNA
419,1.0,a_in,miRNA
420,4.0,a_in,miRNA
421,8.0,a_in,miRNA
422,5.0,a_in,miRNA
423,5.0,a_in,miRNA
424,5.0,a_in,miRNA
425,2.0,a_in,miRNA
426,4.0,a_in,miRNA
427,2.0,a_in,miRNA
428,4.0,a_in,miRNA
429,5.0,a_in,miRNA
430,7.0,a_in,miRNA
431,6.0,a_in,miRNA
432,9.0,a_in,miRNA
433,1.0,a_in,miRNA
434,5.0,a_in,miRNA
435,1.0,a_in,miRNA
436,8.0,a_in,miRNA
437,4.0,a_in,miRNA
438,3.0,a_in,miRNA
439,3.0,a_in,miRNA
440,3.0,a_in,miRNA
441,4.0,a_in,miRNA
442,5.0,a_in,miRNA
443,3.0,a_in,miRNA
444,9.0,a_in,miRNA
445,1.0,a_in,miRNA
446,6.0,a_in,miRNA
447,4.0,a_in,miRNA
448,8.0,a_in,miRNA
449,1.0,a_in,miRNA
450,3.0,a_in,miRNA
451,7.0,a_in,miRNA
452,7.0,a_in,miRNA
453,10.0,a_in,miRNA
454,3.0,a_in,miRNA
455,3.0,a_in,miRNA
456,7.0,a_in,miRNA
457,5.0,a_in,miRNA
458,6.0,a_in,miRNA
459,3.0,a_in,miRNA
460,6.0,a_in,miRNA
461,5.0,a_in,miRNA
462,5.0,a_in,miRNA
463,2.0,a_in,miRNA
464,3.0,a_in,miRNA
465,6.0,a_in,miRNA
466,1.0,a_in,miRNA
467,1.0,a_in,miRNA
468,5.0,a_in,miRNA
469,4.0,a_in,miRNA
470,5.0,a_in,miRNA
471,3.0,a_in,miRNA
472,8.0,a_in,miRNA
473,9.0,a_in,miRNA
474,4.0,a_in,miRNA
475,3.0,a_in,miRNA
476,8.0,a_in,miRNA
477,4.0,a_in,miRNA
478,5.0,a_in,miRNA
479,6.0,a_in,miRNA
480,4.0,a_in,miRNA
481,8.0,a_in,miRNA
482,9.0,a_in,miRNA
483,1.0,a_in,miRNA
484,6.0,a_in,miRNA
485,6.0,a_in,miRNA
486,4.0,a_in,miRNA
487,2.0,a_in,miRNA
488,7.0,a_in,miRNA
489,3.0,a_in,miRNA
490,6.0,a_in,miRNA
491,2.0,a_in,miRNA
492,5.0,a_in,miRNA
493,1.0,a_in,miRNA
494,7.0,a_in,miRNA
495,7.0,a_in,miRNA
496,3.0,a_in,miRNA
497,6.0,a_in,miRNA
498,0.0,a_in,miRNA
499,3.0,a_in,miRNA
500,7.0,a_in,miRNA
501,4.0,a_in,miRNA
502,4.0,a_in,miRNA
503,6.0,a_in,miRNA
504,5.0,a_in,miRNA
505,4.0,a_in,miRNA
506,1.0,a_in,miRNA
507,1.0,a_in,miRNA
508,2.0,a_in,miRNA
509,3.0,a_in,miRNA
510,2.0,a_in,miRNA
511,5.0,a_in,miRNA
512,5.0,a_in,miRNA
513,6.0,a_in,miRNA
514,5.0,a_in,miRNA
515,5.0,a_in,miRNA
516,3.0,a_in,miRNA
517,4.0,a_in,miRNA
518,3.0,a_in,miRNA
519,5.0,a_in,miRNA
520,0.0,a_in,miRNA
521,4.0,a_in,miRNA
522,2.0,a_in,miRNA
523,5.0,a_in,miRNA
524,6.0,a_in,miRNA
525,6.0,a_in,miRNA
526,5.0,a_in,miRNA
527,7.0,a_in,miRNA
528,4.0,a_in,miRNA
529,5.0,a_in,miRNA
530,6.0,a_in,miRNA
531,4.0,a_in,miRNA
532,5.0,a_in,miRNA
533,5.0,a_in,miRNA
534,5.0,a_in,miRNA
535,1.0,a_in,miRNA
536,6.0,a_in,miRNA
537,5.0,a_in,miRNA
538,6.0,a_in,miRNA
539,7.0,a_in,miRNA
540,5.0,a_in,miRNA
541,5.0,a_in,miRNA
542,3.0,a_in,miRNA
543,3.0,a_in,miRNA
544,4.0,a_in,miRNA
545,6.0,a_in,miRNA
546,5.0,a_in,miRNA
547,5.0,a_in,miRNA
548,6.0,a_in,miRNA
549,2.0,a_in,miRNA
550,6.0,a_in,miRNA
551,4.0,a_in,miRNA
552,2.0,a_in,miRNA
553,7.0,a_in,miRNA
554,4.0,a_in,miRNA
555,1.0,a_in,miRNA
556,2.0,a_in,miRNA
557,3.0,a_in,miRNA
558,4.0,a_in,miRNA
559,7.0,a_in,miRNA
560,2.0,a_in,miRNA
561,3.0,a_in,miRNA
562,4.0,a_in,miRNA
563,7.0,a_in,miRNA
564,0.0,a_in,miRNA
565,5.0,a_in,miRNA
566,3.0,a_in,miRNA
567,1.0,a_in,miRNA
568,5.0,a_in,miRNA
569,5.0,a_in,miRNA
570,2.0,a_in,miRNA
571,7.0,a_in,miRNA
572,2.0,a_in,miRNA
573,4.0,a_in,miRNA
574,6.0,a_in,miRNA
575,3.0,a_in,miRNA
576,5.0,a_in,miRNA
577,4.0,a_in,miRNA
578,3.0,a_in,miRNA
579,5.0,a_in,miRNA
580,6.0,a_in,miRNA
581,8.0,a_in,miRNA
582,8.0,a_in,miRNA
583,3.0,a_in,miRNA
584,5.0,a_in,miRNA
585,4.0,a_in,miRNA
586,5.0,a_in,miRNA
587,3.0,a_in,miRNA
588,4.0,a_in,miRNA
589,0.0,a_in,miRNA
590,4.0,a_in,miRNA
591,2.0,a_in,miRNA
592,2.0,a_in,miRNA
593,2.0,a_in,miRNA
594,7.0,a_in,miRNA
595,4.0,a_in,miRNA
596,4.0,a_in,miRNA
597,0.0,a_in,miRNA
598,1.0,a_in,miRNA
599,5.0,a_in,miRNA
600,4.0,a_in,miRNA
601,3.0,a_in,miRNA
602,7.0,a_in,miRNA
603,4.0,a_in,miRNA
604,5.0,a_in,miRNA
605,9.0,a_in,miRNA
606,2.0,a_in,miRNA
607,7.0,a_in,miRNA
608,5.0,a_in,miRNA
609,3.0,a_in,miRNA
610,2.0,a_in,miRNA
611,6.0,a_in,miRNA
612,8.0,a_in,miRNA
613,5.0,a_in,miRNA
614,5.0,a_in,miRNA
615,5.0,a_in,miRNA
616,4.0,a_in,miRNA
617,3.0,a_in,miRNA
618,5.0,a_in,miRNA
